a52dec 0.7.4-9
accounts-qml-module 0.7-1
acl 2.2.53-1
acpi_call 1.1.0-138
adapta-kde 20180618-1
adwaita-icon-theme 3.28.0-1
alacritty-scrollback-git 0.1.0+849+gbfd62ef-1
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-2
alsa-utils 1.1.6-1
android-studio 3.1.3.0-1
aom 1.0.0-1
appstream 0.12.1-1
appstream-qt 0.12.1-1
archlinux-keyring 20180627-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atkmm 2.24.2+1+gf30b47f-2
attica 5.47.0-1
attr 2.4.48-1
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+4+gd8d8c67-1
awesome-terminal-fonts-patched 1.0.0-2
baloo 5.47.0-1
baloo-widgets 18.04.2-1
bash 4.4.023-1
bash-pipes 1.2-2
bc 1.07.1-1
binutils 2.30-5
bison 3.0.5-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-qt 5.47.0-1
bluez-utils 5.50-3
boost-libs 1.67.0-4
breeze 5.13.2-1
breeze-gtk 5.13.2-1
breeze-icons 5.47.0-1
brotli 1.0.4-1
btrfs-progs 4.16.1-2
bzip2 1.0.6-7
c-ares 1.14.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.38-1
ca-certificates-utils 20170307-1
cairo 1.15.12-1
cairomm 1.12.2-2
cantarell-fonts 1:0.101-1
cava 0.6.1-1
cdparanoia 10.2-7
chromium 67.0.3396.87-2
cifs-utils 6.8-2
clucene 2.3.3.4-10
cmake 3.11.4-1
cmatrix 1.2a-12
colord 1.4.3-1
command-not-found 0.6.2-1
composer 1.6.5-1
convertlit 1.8-8
coreutils 8.29-1
cower 18-1
cpupower 4.16-1
cracklib 2.9.6-1
cryptsetup 2.0.3-2
ctemplate 2.3-5
curl 7.60.0-1
db 5.3.28-4
dbus 1.12.8-1
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.177-5
dhcpcd 7.0.4-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
discord 0.0.5-4
djvulibre 3.5.27-3
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20170711-1
dolphin 18.04.2-1
dolphin-plugins 18.04.2-1
dosfstools 4.1-1
dotfiles 0.6.4-2
double-conversion 3.0.0-1
dropbox 52.4.60-1
e2fsprogs 1.44.2-1
ebook-tools 0.2.2-4
editorconfig-core-c 0.12.2-1
electron 2.0.3-1
enchant 2.2.3-1
ethtool 1:4.17-1
exiv2 0.26-2
expac 9-1
expat 2.2.5-1
faad2 2.8.8-1
fakeroot 1.22-1
feh 2.26.4-1
ffmpeg 1:4.0.1-2
fftw 3.3.8-1
file 5.33-3
filesystem 2018.1-2
findutils 4.6.0-2
firefox-developer-edition 62.0b4-1
flac 1.3.2-1
flat-remix-git r175.8722a733-1
flex 2.6.4-1
fontconfig 2.13.0+10+g58f5285-1
frameworkintegration 5.47.0-1
freetype2 2.9.1-1
fribidi 1.0.4-1
fuse-common 3.2.3-1
fuse2 2.9.7-4
gamin 0.1.10-9
gawk 4.2.1-1
gc 7.6.6-1
gcc 8.1.1+20180531-1
gcc-libs 8.1.1+20180531-1
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-3
gdbm 1.14.1-1
gdk-pixbuf2 2.36.12-1
geoclue2 2.4.7-1
gettext 0.19.8.1-2
ghostscript 9.23-1
giflib 5.1.4-1
git 2.18.0-1
gitkraken 3.6.4-1
glew 2.1.0-1
glib-networking 2.56.1-1
glib2 2.56.1-1
glibc 2.27-3
glibmm 2.56.0-1
glu 9.0.0-5
glxinfo 8.4.0-1
gmp 6.1.2-1
gnome-keyring 1:3.28.2-1
gnupg 2.2.8-1
gnutls 3.5.18-1
gobject-introspection-runtime 1.56.1-1
gparted 0.31.0-1
gpgme 1.11.1-1
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.8.2-1
graphite 1:1.3.11-1
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-7
grub-customizer 5.0.6-8
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsl 2.5-1
gsm 1.0.18-1
gst-plugins-base 1.14.1-1
gst-plugins-base-libs 1.14.1-1
gstreamer 1.14.1-1
gtk-update-icon-cache 3.22.30-1
gtk2 2.24.32-1
gtk3 3.22.30-1
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
guile 2.2.3-1
gvfs 1.36.2-2
gvfs-mtp 1.36.2-2
gvfs-smb 1.36.2-2
gzip 1.9-1
harfbuzz 1.8.1-1
harfbuzz-icu 1.8.1-1
hdparm 9.56-1
hicolor-icon-theme 0.17-1
hspell 1.4-1
http-parser 2.8.1-1
hunspell 1.6.2-1
hunspell-en_US 2017.01.22-2
hunspell-sr 20170408-1
hwids 20180518-1
hyphen 2.8.8-2
i3-gaps 4.15.0.1-2
iana-etc 20180221-1
icu 61.1-1
ijs 0.35-1
ilmbase 2.2.1-4
imlib2 1.5.1-1
inetutils 1.9.4-5
iniparser 4.1-1
intel-ucode 20180425-1
iproute2 4.17.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
iso-codes 3.76-1
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
java-environment-common 3-1
java-openjfx 8.u172-2
java-openjfx-doc 8.u172-2
java-openjfx-src 8.u172-2
java-runtime-common 3-1
jbig2dec 0.14-1
jdk8-openjdk 8.u172-2
jetbrains-toolbox 1.9.3935-1
jfsutils 1.1.15-5
jre8-openjdk 8.u172-2
jre8-openjdk-headless 8.u172-2
js52 52.9.0-1
json-c 0.13.1-1
json-glib 1.4.2-2
jsoncpp 1.8.4-2
kaccounts-integration 18.04.2-1
kactivities 5.47.0-1
kactivities-stats 5.47.0-1
